2026-01-29 15:16:01 | INFO     | app.utils.llm_operator:__init__:81 - LLMOperator 初始化成功，模型: qwen3_32b_awq, API 类型: openai
2026-01-29 15:16:01 | INFO     | app.services.ai_service:__init__:100 - AI 服务初始化成功，模型: qwen3_32b_awq
2026-01-29 15:16:02 | INFO     | app.api.auth:register:106 - 新用户注册成功: newuser
2026-01-29 15:16:02 | WARNING  | app.api.auth:register:85 - 注册失败: 用户名已存在 - testuser
2026-01-29 15:16:02 | INFO     | app.api.auth:login:57 - 用户登录成功: testuser
2026-01-29 15:16:03 | WARNING  | app.api.auth:login:39 - 登录失败: 密码错误 - testuser
2026-01-29 15:16:03 | WARNING  | app.api.auth:login:31 - 登录失败: 用户不存在 - nonexistent
2026-01-29 15:16:03 | INFO     | app.services.goal_service:create_goal:49 - 创建目标成功: 1, 用户: 1
2026-01-29 15:16:05 | INFO     | app.services.goal_service:delete_goal:177 - 删除目标成功: 1
2026-01-29 15:16:05 | INFO     | app.services.plan_service:generate_plan:59 - 开始为目标 1 生成规划
2026-01-29 15:16:05 | INFO     | app.services.ai_service:generate_plan:143 - 调用 AI 生成规划，目标：学习 Python
2026-01-29 15:16:05 | ERROR    | app.services.ai_service:generate_plan:172 - AI 调用失败：Completions.create() got an unexpected keyword argument 'chat_template_kwargs'
2026-01-29 15:16:05 | INFO     | app.services.ai_service:generate_plan:174 - 使用降级方案生成规划
2026-01-29 15:16:05 | INFO     | app.services.plan_service:generate_plan:89 - 规划生成成功: 1
2026-01-29 15:16:06 | INFO     | app.services.task_service:create_tasks_from_plan:142 - 根据规划创建 1 个任务成功
2026-01-29 15:16:06 | INFO     | app.services.plan_service:confirm_plan:167 - 规划 1 确认成功，创建 1 个任务
2026-01-29 15:16:06 | INFO     | app.services.plan_service:update_plan:209 - 更新规划成功: 1
2026-01-29 15:16:06 | INFO     | app.services.task_service:create_tasks_from_plan:142 - 根据规划创建 1 个任务成功
2026-01-29 15:16:06 | INFO     | app.services.plan_service:confirm_plan:167 - 规划 1 确认成功，创建 1 个任务
2026-01-29 15:16:06 | INFO     | app.services.task_service:get_user_tasks:186 - 查询到 0 个任务
2026-01-29 15:16:07 | INFO     | app.services.task_service:get_user_tasks:186 - 查询到 1 个任务
2026-01-29 15:16:07 | INFO     | app.services.task_service:get_today_tasks:203 - 获取用户 1 今天的任务，日期: 2026-01-29
2026-01-29 15:16:07 | DEBUG    | app.services.task_service:get_user_tasks:180 - 筛选日期: 2026-01-29
2026-01-29 15:16:07 | INFO     | app.services.task_service:get_user_tasks:186 - 查询到 1 个任务
2026-01-29 15:16:07 | INFO     | app.services.task_service:get_today_tasks:209 - 找到 1 个任务，已完成 0 个
2026-01-29 15:16:07 | INFO     | app.services.task_service:create_task:64 - 创建任务成功: 1
2026-01-29 15:16:07 | INFO     | app.services.task_service:complete_task:264 - 完成任务: 1
2026-01-29 15:16:07 | INFO     | app.services.task_service:complete_task:264 - 完成任务: 1
2026-01-29 15:16:07 | INFO     | app.services.task_service:uncomplete_task:288 - 取消完成任务: 1
2026-01-29 15:16:08 | INFO     | app.services.task_service:delete_task:309 - 删除任务: 1
2026-01-29 15:16:08 | INFO     | app.api.auth:register:106 - 新用户注册成功: flowuser
2026-01-29 15:16:08 | INFO     | app.api.auth:login:57 - 用户登录成功: flowuser
2026-01-29 15:16:08 | INFO     | app.api.auth:register:106 - 新用户注册成功: quickuser
2026-01-29 15:16:08 | INFO     | app.api.auth:login:57 - 用户登录成功: quickuser
2026-01-29 15:16:09 | INFO     | app.services.goal_service:create_goal:49 - 创建目标成功: 1, 用户: 1
2026-01-29 15:16:21 | INFO     | app.utils.llm_operator:__init__:81 - LLMOperator 初始化成功，模型: qwen3_32b_awq, API 类型: openai
2026-01-29 15:16:21 | INFO     | app.services.ai_service:__init__:100 - AI 服务初始化成功，模型: qwen3_32b_awq
2026-01-29 15:16:21 | INFO     | app.api.auth:register:106 - 新用户注册成功: flowuser
2026-01-29 15:16:21 | INFO     | app.api.auth:login:57 - 用户登录成功: flowuser
2026-01-29 15:16:22 | INFO     | app.api.auth:register:106 - 新用户注册成功: quickuser
2026-01-29 15:16:22 | INFO     | app.api.auth:login:57 - 用户登录成功: quickuser
2026-01-29 15:16:22 | INFO     | app.services.goal_service:create_goal:49 - 创建目标成功: 1, 用户: 1
2026-01-29 15:16:44 | INFO     | app.utils.llm_operator:__init__:81 - LLMOperator 初始化成功，模型: qwen3_32b_awq, API 类型: openai
2026-01-29 15:16:44 | INFO     | app.services.ai_service:__init__:100 - AI 服务初始化成功，模型: qwen3_32b_awq
2026-01-29 15:16:45 | INFO     | app.api.auth:register:106 - 新用户注册成功: flowuser
2026-01-29 15:16:45 | INFO     | app.api.auth:login:57 - 用户登录成功: flowuser
2026-01-29 15:16:49 | INFO     | app.utils.llm_operator:__init__:81 - LLMOperator 初始化成功，模型: qwen3_32b_awq, API 类型: openai
2026-01-29 15:16:49 | INFO     | app.services.ai_service:__init__:100 - AI 服务初始化成功，模型: qwen3_32b_awq
2026-01-29 15:16:49 | INFO     | app.api.auth:register:106 - 新用户注册成功: flowuser
2026-01-29 15:16:49 | INFO     | app.api.auth:login:57 - 用户登录成功: flowuser
2026-01-29 15:16:49 | INFO     | app.api.auth:register:106 - 新用户注册成功: quickuser
2026-01-29 15:16:50 | INFO     | app.api.auth:login:57 - 用户登录成功: quickuser
2026-01-29 15:16:50 | INFO     | app.services.goal_service:create_goal:49 - 创建目标成功: 1, 用户: 1
2026-01-29 15:16:55 | INFO     | app.utils.llm_operator:__init__:81 - LLMOperator 初始化成功，模型: qwen3_32b_awq, API 类型: openai
2026-01-29 15:16:55 | INFO     | app.services.ai_service:__init__:100 - AI 服务初始化成功，模型: qwen3_32b_awq
2026-01-29 15:16:55 | INFO     | app.api.auth:register:106 - 新用户注册成功: flowuser
2026-01-29 15:16:55 | INFO     | app.api.auth:login:57 - 用户登录成功: flowuser
2026-01-29 15:16:55 | INFO     | app.api.auth:register:106 - 新用户注册成功: quickuser
